addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
"서울특별시 종로구 새문안로 29, (평동)",1,상급종합,0,0,0,0,4,0,0,4,396,평동,19790324,http://www.kbsmc.co.kr,0,23,104,261,0,3181,110016,종로구,110000,서울,02-2001-2001,126.96775,37.5684083,강북삼성병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz
"서울특별시 광진구 능동로 120-1, (화양동)",1,상급종합,0,0,0,0,0,0,0,1,402,화양동,19821116,http://www.kuh.ac.kr,1,45,107,248,0,5030,110023,광진구,110000,서울,1588-1533,127.0718276,37.5403764,건국대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz
"서울특별시 동대문구 경희대로 23, (회기동)",1,상급종합,0,0,0,0,0,0,0,0,425,회기동,19711005,http://www.khuh.or.kr/,3,56,130,236,0,2447,110007,동대문구,110000,서울,02-958-8114,127.051852,37.5941195,경희대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz
"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",1,상급종합,0,0,0,0,0,5,18,10,515,구로동,19830831,http://guro.kumc.or.kr/main/index.do,1,31,138,312,0,8308,110005,구로구,110000,서울,02-2626-1114,126.8848701,37.492052,고려대학교의과대학부속구로병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz
"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",1,상급종합,0,0,0,0,0,0,5,14,1250,일원동,19940613,http://www.samsunghospital.com,14,81,325,811,0,6351,110001,강남구,110000,서울,02-3410-2114,127.0851508,37.4882977,삼성서울병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 종로구 대학로 101, (연건동)",1,상급종합,0,0,0,0,0,0,0,1,1488,연건동,19810709,http://www.snuh.org,9,188,492,798,0,3080,110016,종로구,110000,서울,1588-5700,126.9990168,37.5797151,서울대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz
"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",1,상급종합,0,0,0,0,0,10,30,14,516,도곡동,19830404,http://gs.iseverance.com,3,29,94,336,0,6273,110001,강남구,110000,서울,02-2019-3114,127.0462683,37.4929296,연세대학교의과대학 강남세브란스병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz
"서울특별시 서대문구 연세로 50-1, (신촌동)",1,상급종합,0,0,0,0,0,0,0,0,1316,신촌동,19740325,http://www.yuhs.or.kr,36,122,286,872,0,3722,110010,서대문구,110000,서울,02-2228-0114,126.9408265,37.5623446,연세대학교의과대학세브란스병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz
"서울특별시 양천구 안양천로 1071, (목동)",1,상급종합,0,0,0,0,0,0,12,10,424,목동,19930730,http://www.eumc.ac.kr/mokdong/,0,60,112,230,0,7985,110020,양천구,110000,서울,02-2650-5114,126.8862043,37.536602,이화여자대학교의과대학부속목동병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz
"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",1,상급종합,0,0,0,0,2,0,21,16,1506,풍납동,19890520,http://www.amc.seoul.kr,12,94,295,1066,0,5505,110018,송파구,110000,서울,02-3010-3114,127.107935,37.5265762,재단법인아산사회복지재단 서울아산병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz
"서울특별시 동작구 흑석로 102, (흑석동)",1,상급종합,0,0,0,0,1,0,0,8,357,흑석동,20041201,http://ch.cauhs.or.kr/,0,16,110,222,0,6973,110008,동작구,110000,서울,1800-1114,126.9607839,37.5067481,중앙대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz
"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1,상급종합,0,0,0,0,0,0,10,10,516,안암동5가,19740325,http://anam.kumc.or.kr/main/index.do,2,0,141,353,0,2841,110012,성북구,110000,서울,1577-0083,127.0263537,37.5870165,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz
"서울특별시 서초구 반포대로 222, (반포동)",1,상급종합,0,0,0,0,0,5,15,13,750,반포동,19800502,http://www.cmcseoul.or.kr/,2,0,155,560,0,6591,110021,서초구,110000,서울,02-1588-1511,127.0051154,37.5009444,학교법인가톨릭학원가톨릭대학교서울성모병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz
"서울특별시 성동구 왕십리로 222-1, (사근동)",1,상급종합,0,0,0,0,0,2,5,6,387,사근동,19720424,http://seoul.hyumc.com,3,29,108,234,0,4763,110011,성동구,110000,서울,02-2290-8114,127.0441339,37.5596569,한양대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz
"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",11,종합병원,0,0,0,0,0,0,0,2,191,여의도동,19860820,http://www.cmcujb.or.kr/,0,8,44,137,0,7345,110013,영등포구,110000,서울,1661-7575,126.9367517,37.5183253,가톨릭대학교 여의도성모병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz
"서울특별시 은평구 통일로 1021, (진관동)",11,종합병원,0,0,0,0,0,0,0,4,274,진관동,19610515,http://www.cmcep.or.kr/,0,0,49,221,0,3312,110015,은평구,110000,서울,02-1811-7755,126.9161912,37.6334945,가톨릭대학교 은평성모병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjNDEjJDEjJDQjJDgz
"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",11,종합병원,0,0,0,0,0,0,0,0,35,도곡동,20031219,,0,0,0,35,0,6271,110001,강남구,110000,서울,1544-7522,127.0396045,37.4856196,강남베드로병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz
"서울특별시 강동구 동남로 892, (상일동)",11,종합병원,0,0,0,0,0,0,0,1,276,상일동,20060227,http://www.khnmc.or.kr,0,12,70,193,0,5278,110002,강동구,110000,서울,02-440-7114,127.1576732,37.553536,강동경희대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz
"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",11,종합병원,0,0,0,0,0,0,0,3,99,가락동,19710220,http://www.nph.go.kr,0,5,29,62,0,5715,110018,송파구,110000,서울,02-3400-1114,127.1235089,37.4963836,경찰병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDgjJDgz
"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",11,종합병원,0,0,0,0,0,0,0,0,35,고척동,20000209,,1,0,0,34,0,8223,110005,구로구,110000,서울,02-2067-1500,126.8664159,37.4996715,구로성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz
"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",11,종합병원,0,0,3,4,0,0,0,4,223,을지로6가,20100402,http://www.nmc.or.kr,0,22,58,132,0,4564,110017,중구,110000,서울,02-2260-7114,127.0056709,37.5672137,국립중앙의료원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",11,종합병원,0,0,0,0,0,0,0,0,46,서초동,20060411,http://gibbeumhospital.com,2,0,0,44,0,6725,110021,서초구,110000,서울,02-570-1234,127.0180814,37.4827157,기쁨병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEyMjIjNTEjJDEjJDYjJDgz
"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",11,종합병원,0,0,0,0,1,0,0,2,203,하계동,19950114,http://www.eulji.or.kr/default.asp,0,13,53,134,0,1830,110022,노원구,110000,서울,02-970-8000,127.0699354,37.6364793,노원을지대학교병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz
"서울특별시 중랑구 사가정로49길 53, (면목동)",11,종합병원,0,0,0,0,0,0,0,0,37,면목동,20030917,http://www.greenhospital.co.kr/main.php,1,0,1,35,0,2221,110019,중랑구,110000,서울,02-490-2000,127.0860738,37.5835731,녹색병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNTEjJDEjJDYjJDgz
"서울특별시 영등포구 시흥대로 657, (대림동, 대림성모병원)",11,종합병원,0,0,0,0,1,0,0,0,52,대림동,19740924,http://www.drh.co.kr,0,0,0,51,0,7442,110013,영등포구,110000,서울,02-829-9000,126.9072208,37.4906979,대림성모병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz
"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",11,종합병원,0,0,0,0,0,0,0,0,33,대림동,19840807,http://www.myongji-sm.co.kr/,0,0,0,33,0,7417,110013,영등포구,110000,서울,02-1899-1475,126.8992626,37.4938623,명지성모병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjEwMDIjNTEjJDEjJDYjJDgz
"서울특별시 강서구 강서로 295, (내발산동)",11,종합병원,0,0,0,0,0,0,0,0,57,내발산동,20000124,https://www.mizmedi.com/,0,0,0,57,0,7639,110003,강서구,110000,서울,02-2007-1000,126.8359357,37.5522178,미즈메디병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz
"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",11,종합병원,0,0,0,0,0,0,0,0,55,등촌동,20110414,http://www.bumin.co.kr/seoul,4,1,0,50,0,7590,110003,강서구,110000,서울,1577-7582,126.8509273,37.556866,부민병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjE4MzIjNjEjJDEjJDAjJDgz
"서울특별시 동대문구 망우로 82, (휘경동)",11,종합병원,0,0,0,0,1,0,0,0,107,휘경동,19660107,http://www.symcs.co.kr,0,4,13,89,0,2500,110007,동대문구,110000,서울,02-2244-0191,127.0653065,37.5879909,삼육서울병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz
"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",11,종합병원,0,0,0,0,1,0,0,0,38,청량리동,19911230,http://www.sshosp.co.kr,1,0,7,29,0,2488,110007,동대문구,110000,서울,02-966-1616,127.0497295,37.5843076,서울성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNzEjJDEjJDgjJDgz
"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",11,종합병원,0,0,0,0,0,0,0,1,42,평동,19770401,https://www.rch.or.kr/web/rchseoul/main/,0,3,3,35,0,3181,110016,종로구,110000,서울,02-2002-8000,126.9669974,37.5671805,서울적십자병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz
"서울특별시 동대문구 무학로 124, (용두동)",11,종합병원,0,0,0,0,1,0,0,1,29,용두동,19790701,http://www.dbhosp.go.kr,1,0,0,26,0,2584,110007,동대문구,110000,서울,02-920-9114,127.0313409,37.5753681,서울특별시 동부병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz
"서울특별시 동작구 보라매로5길 20, (신대방동)",11,종합병원,0,0,0,0,0,1,3,6,261,신대방동,19911116,http://www.brmh.org,1,0,12,238,0,7061,110008,동작구,110000,서울,02-870-2114,126.9239058,37.4934414,서울특별시보라매병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz
"서울특별시 양천구 신정이펜1로 20, (신정동)",11,종합병원,0,0,0,0,0,0,0,1,54,신정동,20110328,,0,0,0,53,0,8049,110020,양천구,110000,서울,1566-6688,126.8331531,37.5120195,서울특별시서남병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNzEjJDEjJDgjJDgz
"서울특별시 중랑구 신내로 156, (신내동)",11,종합병원,1,0,0,0,0,0,0,3,221,신내동,20110309,http://www.seoulmc.or.kr,1,13,57,146,0,2053,110019,중랑구,110000,서울,02-2276-7000,127.0978309,37.6132762,서울특별시서울의료원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDgjJDgz
"서울특별시 강북구 도봉로 374, (번동, 서울현대병원)",11,종합병원,0,0,0,0,0,0,0,0,18,번동,20100324,,1,0,0,17,0,1056,110024,강북구,110000,서울,1588-6853,127.0285199,37.6402555,서울현대병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz
"서울특별시 강동구 성안로 150, (길동)",11,종합병원,0,0,0,0,0,0,0,2,238,길동,19861017,www.kdh.or.kr,1,17,66,152,0,5355,110002,강동구,110000,서울,02-2224-2114,127.135378,37.5359971,성심의료재단강동성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz
"서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)",11,종합병원,0,0,0,0,0,0,0,1,57,신길동,19820930,http://www.sungae.co.kr,0,0,0,56,0,7354,110013,영등포구,110000,서울,02-840-7114,126.9224327,37.5120022,성애의료재단 성애병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNzEjJDEjJDgjJDgz
"서울특별시 종로구 통일로 256, (무악동)",11,종합병원,0,0,0,0,0,0,0,1,55,무악동,19870424,http://www.seran.co.kr/,0,0,0,54,0,3030,110016,종로구,110000,서울,02-737-0181,126.9574606,37.5751835,세란병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz
"서울특별시 용산구 대사관로 59, (한남동)",11,종합병원,0,0,0,0,1,0,0,4,348,한남동,19780223,http://www.schmc.ac.kr/seoul/kor/index.do,1,31,88,223,0,4401,110014,용산구,110000,서울,02-709-9114,127.0042579,37.533804,순천향대학교 부속 서울병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNTEjJDEjJDIjJDgz
"서울특별시 영등포구 영등포로36길 13, (영등포동4가, 충무병원)",11,종합병원,0,0,0,0,0,0,0,0,25,영등포동4가,19840302,http://www.cmhospital.co.kr,0,0,0,25,0,7301,110013,영등포구,110000,서울,02-2678-0001,126.9041862,37.5188597,씨엠병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz
"서울특별시 강서구 하늘길 70, (과해동)",11,종합병원,0,0,0,0,0,0,0,0,19,과해동,20120430,http://seoul.wooridul.co.kr/,0,0,0,19,0,7505,110003,강서구,110000,서울,02-2660-7500,126.7963265,37.5620454,우리들병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz
"서울특별시 은평구 통일로 873, (갈현동)",11,종합병원,0,0,0,0,0,0,0,0,27,갈현동,19800128,www.cgss.co.kr/,1,0,0,26,0,3330,110015,은평구,110000,서울,02-350-3300,126.9197006,37.6208615,의료법인 청구성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz
"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",11,종합병원,0,0,0,0,0,0,0,0,22,홍은동,19940622,http://www.dshospital.co.kr,2,0,0,20,0,3653,110010,서대문구,110000,서울,02-396-9161,126.9364251,37.5813323,의료법인동신의료재단 동신병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz
"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",11,종합병원,0,0,0,0,0,0,0,0,97,신림동,19800620,http://www.newyjh.com,0,4,7,86,0,8779,110004,관악구,110000,서울,02-1877-8875,126.9325692,37.4841536,의료법인서울효천의료재단 에이치플러스양지병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjEwMDIjNTEjJDEjJDYjJDgz
"서울특별시 강북구 도봉로 301, (수유동, 대한병원)",11,종합병원,0,0,0,0,0,0,0,0,13,수유동,19820329,http://www.daehanh.com,1,0,0,12,0,1081,110024,강북구,110000,서울,02-903-3232,127.0226914,37.6354747,의료법인성화의료재단  대한병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQzNjEwMDIjNjEjJDEjJDgjJDgz
"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",11,종합병원,0,0,0,0,0,0,0,0,24,망우동,19830822,http://www.dbjeil.co.kr,1,0,0,23,0,2063,110019,중랑구,110000,서울,02-437-5011,127.1090094,37.6007085,의료법인풍산의료재단동부제일병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE4MzIjNDEjJDEjJDgjJDgz
"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",11,종합병원,0,0,0,0,1,0,0,2,113,쌍문동,19740328,http://www.kepcomedi.co.kr,1,4,10,95,0,1450,110006,도봉구,110000,서울,02-901-3114,127.0291228,37.6461401,의료법인한전의료재단 한일병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz
"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",11,종합병원,0,0,0,0,0,0,3,5,292,마곡동,20181226,,0,0,10,274,0,7804,110003,강서구,110000,서울,1522-7000,126.8362575,37.5572394,이화여자대학교의과대학부속서울병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjODEjJDEjJDYjJDgz
"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",11,종합병원,0,0,0,0,0,0,3,3,232,상계동,19890814,http://www.paik.ac.kr/sanggye,3,19,56,148,0,1757,110022,노원구,110000,서울,02-950-1114,127.0629909,37.6485408,인제대학교 상계백병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 성동구 왕십리로 382, (하왕십리동)",11,종합병원,0,0,0,0,0,0,0,0,9,하왕십리동,20020419,,0,0,0,9,0,4701,110011,성동구,110000,서울,02-3452-7575,127.0280199,37.5651103,재단법인베스티안재단베스티안서울병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz
"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",11,종합병원,0,0,0,0,0,0,0,3,104,역삼동,19901022,http://gangnam.chamc.co.kr,0,0,6,95,0,6135,110001,강남구,110000,서울,02-3468-3000,127.0345427,37.5067005,차의과학대학교 강남차병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE0ODEjNTEjJDEjJDIjJDgz
"서울특별시 강동구 진황도로61길 53, (둔촌동)",11,종합병원,0,0,0,1,0,37,8,23,294,둔촌동,19831116,http://seoul.bohun.or.kr,1,19,57,148,0,5368,110002,강동구,110000,서울,02-2225-1111,127.1478691,37.5303393,한국보훈복지의료공단 중앙보훈병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz
"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",11,종합병원,0,0,0,0,0,0,0,2,146,공릉동,19851129,http://www.kcch.re.kr,1,12,21,110,0,1812,110022,노원구,110000,서울,02-970-2114,127.0824198,37.6288667,한국원자력의학원원자력병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQ0NjEwMDIjNjEjJDEjJDgjJDgz
"서울특별시 영등포구 신길로 1, (대림동, 강남성심병원)",11,종합병원,0,0,0,0,0,0,0,7,254,대림동,19800111,http://kangnam.hallym.or.kr,0,21,80,146,0,7441,110013,영등포구,110000,서울,02-829-5114,126.9086527,37.4937262,한림대학교 강남성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNTEjJDEjJDYjJDgz
"서울특별시 영등포구 버드나루로7길 12, (영등포동7가, 한강성심병원)",11,종합병원,0,0,0,0,0,0,0,0,22,영등포동7가,19820419,http://hangang.hallym.or.kr,0,0,0,22,0,7247,110013,영등포구,110000,서울,02-2639-5114,126.9096811,37.5231702,한림대학교 한강성심병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz
"서울특별시 광진구 자양로 85, (자양동)",11,종합병원,0,0,0,0,0,0,0,0,34,자양동,19851113,http://www.e-hyemin.co.kr,0,0,0,34,0,5056,110023,광진구,110000,서울,02-2049-9000,127.0836246,37.5354079,혜민병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz
"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",11,종합병원,0,0,0,0,2,0,0,0,52,신정동,19930820,www.hih.or.kr/,0,2,0,48,0,7937,110020,양천구,110000,서울,02-2693-5555,126.8636551,37.5284838,홍익병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz
"서울특별시 금천구 시흥대로 244, (시흥동)",11,종합병원,0,0,0,0,0,0,0,0,25,시흥동,19850621,http://www.hopehp.co.kr,1,0,0,24,0,8626,110025,금천구,110000,서울,02-804-0002,126.9005836,37.4556869,희명병원,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz
"서울특별시 강남구 봉은사로 612, (삼성동)",21,병원,1,0,0,2,1,0,0,0,12,삼성동,19940425,https://www.ekwangdong.co.kr,0,0,0,8,0,6170,110001,강남구,110000,서울,2222-4888,127.0621662,37.5142863,(의)가산의료재단 광동병원,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz
"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",21,병원,0,0,0,0,0,0,0,0,4,성내동,20250623,,0,0,0,4,0,5378,110002,강동구,110000,서울,02-6485-1234,127.1234953,37.537382,123스텝업병원,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",21,병원,0,0,0,0,0,0,0,0,15,서초동,20130117,http://www.365mc.co.kr,0,0,0,15,0,6634,110021,서초구,110000,서울,02-3474-3653,127.0141365,37.4929843,365엠씨(mc)병원,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz
"서울특별시 성동구 왕십리로 269, (행당동)",21,병원,0,0,0,0,0,0,0,0,6,행당동,20171123,,0,0,0,6,0,4745,110011,성동구,110000,서울,02-2297-9988,127.0375193,37.5585817,9988병원,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz
"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",21,병원,0,0,0,0,0,0,0,0,8,남가좌동,20150811,,0,0,0,8,0,3712,110010,서대문구,110000,서울,02-304-5660,126.9165989,37.5689576,가자연세병원,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
