목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
강남구,개포1동,358,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,개포2동,1874,0,0,0,0,0,30,0,0,15,30,15,45,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,개포3동,3558,0,0,0,0,0,12,0,0,5,12,5,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,개포4동,380,0,0,0,0,0,19,0,0,8,19,8,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,논현1동,924,6,0,0,0,0,264,0,0,27,270,27,297,6,0.0,0.0,0.0,0.0,0,6,81.0,13.5
강남구,논현2동,691,5,0,0,0,0,137,0,0,24,142,24,166,5,0.0,0.0,0.0,0.0,0,5,40.0,8.0
강남구,대치1동,667,0,0,0,0,0,65,0,0,21,65,21,86,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,대치2동,1220,1,0,0,0,0,42,0,0,20,43,20,63,1,0.0,0.0,0.0,0.0,0,1,9.0,9.0
강남구,대치4동,867,2,0,0,0,0,50,0,0,18,52,18,70,2,0.0,0.0,0.0,0.0,0,2,40.0,20.0
강남구,도곡1동,3799,3,0,0,1,1,49,0,1,19,55,19,74,6,2.0,77.0,36.0,113.0,0,6,574.0,95.66666666666667
강남구,도곡2동,1069,0,0,0,0,0,31,0,0,11,31,11,42,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,삼성1동,2164,4,0,0,0,0,56,0,0,11,60,11,71,4,0.0,0.0,0.0,0.0,0,4,32.0,8.0
강남구,삼성2동,1714,0,1,0,0,0,60,0,0,25,60,26,86,1,0.0,0.0,0.0,0.0,1,0,10.0,10.0
강남구,세곡동,7720,0,0,0,0,2,21,0,0,8,23,8,31,2,1.0,0.0,2.0,2.0,0,2,15.0,7.5
강남구,수서동,7479,0,0,0,0,0,25,0,0,7,25,7,32,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,신사동,885,0,0,0,0,0,336,0,0,33,336,33,369,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,압구정동,1368,4,0,0,0,2,255,0,0,42,261,42,303,6,0.0,0.0,0.0,0.0,0,6,32.0,5.333333333333333
강남구,역삼1동,4173,2,0,0,0,0,373,0,1,49,376,49,425,3,1.0,30.0,1.0,31.0,0,3,112.0,37.333333333333336
강남구,역삼2동,1001,1,0,0,0,0,81,0,0,15,82,15,97,1,0.0,0.0,0.0,0.0,0,1,15.0,15.0
강남구,일원1동,2858,0,0,0,0,0,16,0,0,8,16,8,24,0,0.0,0.0,0.0,0.0,0,0,0.0,
강남구,일원본동,4052,0,0,0,1,0,10,0,0,2,11,2,13,1,1.0,229.0,21.0,250.0,0,1,1250.0,1250.0
강남구,청담동,896,4,0,0,0,1,245,0,0,29,250,29,279,5,0.0,0.0,0.0,0.0,0,5,73.0,14.6
강동구,강일동,13505,0,0,0,0,0,20,0,0,7,20,7,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,고덕1동,6218,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,고덕2동,2732,0,0,0,0,1,26,0,0,6,27,6,33,1,1.0,0.0,1.0,1.0,0,1,10.0,10.0
강동구,길동,8143,6,0,0,0,0,60,0,1,24,67,24,91,7,2.0,49.0,280.0,329.0,0,7,290.0,41.42857142857143
강동구,둔촌1동,557,0,0,0,0,0,25,0,0,5,25,5,30,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,둔촌2동,8612,0,0,0,0,1,9,0,1,7,11,7,18,2,2.0,54.0,29.0,83.0,0,2,304.0,152.0
강동구,명일1동,3082,1,0,0,0,0,35,0,0,21,36,21,57,1,0.0,0.0,0.0,0.0,0,1,11.0,11.0
강동구,명일2동,1760,0,0,0,0,0,29,0,0,10,29,10,39,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,상일1동,9019,0,0,0,0,0,8,0,1,4,9,4,13,1,1.0,64.0,7.0,71.0,0,1,276.0,276.0
강동구,성내1동,1440,2,1,0,0,0,10,0,0,8,12,9,21,3,0.0,0.0,0.0,0.0,1,2,18.0,6.0
강동구,성내2동,2270,4,0,0,0,0,35,0,0,13,39,13,52,4,0.0,0.0,0.0,0.0,0,4,21.0,5.25
강동구,성내3동,877,2,0,0,0,0,54,0,0,27,56,27,83,2,0.0,0.0,0.0,0.0,0,2,23.0,11.5
강동구,암사1동,3584,0,0,0,0,0,19,0,0,12,19,12,31,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,암사2동,1101,0,0,0,0,0,18,0,0,6,18,6,24,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,암사3동,917,0,0,0,0,0,6,0,0,4,6,4,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,천호1동,2514,0,0,0,0,0,16,0,0,10,16,10,26,0,0.0,0.0,0.0,0.0,0,0,0.0,
강동구,천호2동,6873,1,0,0,0,3,74,0,0,21,78,21,99,4,2.0,0.0,25.0,25.0,0,4,30.0,7.5
강동구,천호3동,5480,2,0,0,0,0,28,0,0,9,30,9,39,2,0.0,0.0,0.0,0.0,0,2,42.0,21.0
강북구,미아동,2362,2,0,0,0,0,28,0,0,10,30,10,40,2,0.0,0.0,0.0,0.0,0,2,12.0,6.0
강북구,번1동,2289,0,0,0,0,1,31,0,1,8,33,8,41,2,1.0,9.0,0.0,9.0,0,2,23.0,11.5
강북구,번2동,6412,0,1,0,0,0,6,0,0,3,6,4,10,1,0.0,0.0,0.0,0.0,1,0,9.0,9.0
강북구,번3동,6483,0,0,0,0,1,7,0,0,5,8,5,13,1,0.0,0.0,0.0,0.0,0,1,8.0,8.0
강북구,삼각산동,3695,0,0,0,0,0,15,0,0,5,15,5,20,0,0.0,0.0,0.0,0.0,0,0,0.0,
강북구,삼양동,1524,0,0,0,0,0,25,0,0,8,25,8,33,0,0.0,0.0,0.0,0.0,0,0,0.0,
강북구,송중동,2881,1,0,0,0,0,36,0,0,9,37,9,46,1,0.0,0.0,0.0,0.0,0,1,16.0,16.0
강북구,송천동,2326,2,0,0,0,2,16,0,0,15,20,15,35,4,0.0,0.0,0.0,0.0,0,4,27.0,6.75
강북구,수유1동,2390,0,0,0,0,0,11,0,0,6,11,6,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
강북구,수유2동,1390,0,0,0,0,0,16,0,0,5,16,5,21,0,0.0,0.0,0.0,0.0,0,0,0.0,
강북구,수유3동,2554,1,0,0,0,0,36,0,0,10,37,10,47,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
강북구,우이동,2963,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
강북구,인수동,7523,2,0,0,0,0,7,0,1,8,10,8,18,3,3.0,15.0,4.0,19.0,0,3,51.0,17.0
강서구,가양1동,8921,2,0,0,0,0,63,0,0,25,65,25,90,2,0.0,0.0,0.0,0.0,0,2,23.0,11.5
강서구,가양2동,9063,0,0,0,0,0,22,0,0,6,22,6,28,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,가양3동,3069,0,0,0,0,0,4,0,0,2,4,2,6,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,공항동,5649,0,0,0,0,0,22,0,1,4,23,4,27,1,1.0,0.0,1.0,1.0,0,1,19.0,19.0
강서구,등촌1동,1976,1,0,0,0,0,23,0,0,10,24,10,34,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
강서구,등촌2동,1135,1,0,0,0,0,6,0,0,5,7,5,12,1,0.0,0.0,0.0,0.0,0,1,12.0,12.0
강서구,등촌3동,11067,3,0,0,0,1,30,0,1,13,35,13,48,5,2.0,15.0,4.0,19.0,0,5,79.0,15.8
강서구,발산1동,8688,4,0,0,0,0,62,0,2,19,68,19,87,6,2.0,116.0,7.0,123.0,0,6,372.0,62.0
강서구,방화1동,12674,2,0,0,0,0,46,0,0,18,48,18,66,2,0.0,0.0,0.0,0.0,0,2,7.0,3.5
강서구,방화2동,6752,1,0,0,0,0,11,0,0,4,12,4,16,1,0.0,0.0,0.0,0.0,0,1,3.0,3.0
강서구,방화3동,5225,0,0,0,0,0,6,0,0,5,6,5,11,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,염창동,1820,1,1,0,0,1,26,0,0,11,28,12,40,3,1.0,0.0,1.0,1.0,1,2,21.0,7.0
강서구,우장산동,5304,2,0,0,0,1,30,0,0,16,33,16,49,3,0.0,0.0,0.0,0.0,0,3,18.0,6.0
강서구,화곡1동,2931,1,0,0,0,0,42,1,0,17,43,18,61,2,0.0,0.0,0.0,0.0,1,1,11.0,5.5
강서구,화곡2동,348,0,0,0,0,0,6,0,0,6,6,6,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,화곡3동,1486,1,0,0,0,0,24,0,0,12,25,12,37,1,0.0,0.0,0.0,0.0,0,1,10.0,10.0
강서구,화곡4동,1327,1,0,0,0,1,18,0,0,9,20,9,29,2,0.0,0.0,0.0,0.0,0,2,13.0,6.5
강서구,화곡6동,3511,0,0,0,0,0,15,0,0,8,15,8,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,화곡8동,1407,0,0,0,0,0,18,0,0,9,18,9,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
강서구,화곡본동,1072,0,0,0,0,0,15,0,0,6,15,6,21,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,낙성대동,3653,1,0,0,0,0,27,0,0,6,28,6,34,1,0.0,0.0,0.0,0.0,0,1,10.0,10.0
관악구,난곡동,2007,0,0,0,0,0,19,0,0,6,19,6,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,난향동,1817,0,0,0,0,0,4,0,0,3,4,3,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,남현동,1025,0,0,0,0,0,18,0,0,7,18,7,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,대학동,901,0,0,0,0,0,12,0,0,4,12,4,16,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,미성동,2356,1,0,0,0,0,16,0,0,6,17,6,23,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
관악구,보라매동,9495,0,0,0,0,0,12,0,0,6,12,6,18,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,삼성동,2409,0,0,0,0,0,6,0,0,5,6,5,11,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,서림동,1935,0,0,0,0,0,8,0,0,4,8,4,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,서원동,2497,2,0,0,0,0,17,0,1,5,20,5,25,3,1.0,21.0,5.0,26.0,0,3,108.0,36.0
관악구,성현동,3166,0,0,0,0,0,6,0,0,6,6,6,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,신림동,1458,0,0,0,0,1,38,0,0,9,39,9,48,1,0.0,0.0,0.0,0.0,0,1,7.0,7.0
관악구,신사동,1305,1,0,0,0,0,10,0,0,5,11,5,16,1,0.0,0.0,0.0,0.0,0,1,4.0,4.0
관악구,신원동,487,0,0,0,0,0,8,0,0,6,8,6,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,은천동,2999,1,0,0,0,0,13,0,0,9,14,9,23,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
관악구,인헌동,1065,0,0,0,0,0,22,0,0,10,22,10,32,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,조원동,1252,1,0,0,0,0,19,0,0,7,20,7,27,1,0.0,0.0,0.0,0.0,0,1,1.0,1.0
관악구,중앙동,1461,0,0,0,0,0,39,0,0,8,39,8,47,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,청룡동,2981,1,1,0,0,1,29,0,0,10,31,11,42,3,0.0,0.0,0.0,0.0,1,2,24.0,8.0
관악구,청림동,1690,0,0,0,0,0,3,0,0,2,3,2,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
관악구,행운동,1808,3,0,0,0,0,30,0,0,14,33,14,47,3,1.0,5.0,0.0,5.0,0,3,21.0,7.0
광진구,광장동,1805,0,0,0,0,0,15,0,0,6,15,6,21,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,구의1동,2153,0,0,0,0,0,19,0,0,4,19,4,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,구의2동,11454,1,0,0,0,0,14,0,0,10,15,10,25,1,0.0,0.0,0.0,0.0,0,1,3.0,3.0
광진구,구의3동,3078,0,0,0,0,0,35,0,0,9,35,9,44,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,군자동,1540,0,0,0,0,0,20,0,0,8,20,8,28,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,능동,1532,2,0,0,0,0,8,0,0,6,10,6,16,2,0.0,0.0,0.0,0.0,0,2,11.0,5.5
광진구,자양1동,2215,0,0,0,0,0,31,0,1,20,32,20,52,1,1.0,19.0,0.0,19.0,0,1,34.0,34.0
광진구,자양2동,1784,0,1,0,0,1,15,0,0,4,16,5,21,2,1.0,0.0,4.0,4.0,1,1,17.0,8.5
광진구,자양3동,1739,0,0,0,0,0,17,0,0,6,17,6,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,자양4동,1946,1,0,0,0,0,30,0,0,12,31,12,43,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
광진구,중곡1동,1710,0,0,0,0,0,20,0,0,3,20,3,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,중곡2동,1317,0,0,0,0,0,30,0,0,9,30,9,39,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,중곡3동,2624,0,0,0,0,0,11,1,0,7,11,8,19,1,1.0,0.0,43.0,43.0,1,0,37.0,37.0
광진구,중곡4동,2061,0,0,0,0,0,13,0,0,7,13,7,20,0,0.0,0.0,0.0,0.0,0,0,0.0,
광진구,화양동,4560,0,0,0,1,1,36,0,0,9,38,9,47,2,1.0,78.0,3.0,81.0,0,2,406.0,203.0
구로구,가리봉동,1000,0,0,0,0,2,3,0,0,2,5,2,7,2,1.0,0.0,1.0,1.0,0,2,14.0,7.0
구로구,개봉1동,3696,0,0,0,0,2,17,1,0,10,19,11,30,3,2.0,0.0,2.0,2.0,1,2,26.0,8.666666666666666
구로구,개봉2동,1128,0,0,0,0,0,22,0,0,9,22,9,31,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,개봉3동,1561,0,0,0,0,0,11,0,0,3,11,3,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,고척1동,3108,1,0,0,0,1,23,0,1,8,26,8,34,3,1.0,11.0,0.0,11.0,0,3,46.0,15.333333333333334
구로구,고척2동,1575,3,0,0,0,0,18,0,0,5,21,5,26,3,0.0,0.0,0.0,0.0,0,3,11.0,3.6666666666666665
구로구,구로1동,1363,0,0,0,0,0,6,0,0,4,6,4,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,구로2동,7384,1,0,0,1,0,34,0,0,5,36,5,41,2,1.0,118.0,8.0,126.0,0,2,522.0,261.0
구로구,구로3동,3863,1,0,0,0,0,39,0,0,15,40,15,55,1,0.0,0.0,0.0,0.0,0,1,27.0,27.0
구로구,구로4동,1356,0,0,0,0,0,25,0,0,15,25,15,40,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,구로5동,4233,3,1,0,0,1,29,0,0,7,33,8,41,5,0.0,0.0,0.0,0.0,1,4,60.0,12.0
구로구,수궁동,3623,0,0,0,0,0,4,0,0,3,4,3,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,신도림동,2877,0,0,0,0,0,36,0,0,12,36,12,48,0,0.0,0.0,0.0,0.0,0,0,0.0,
구로구,오류1동,3477,0,0,0,0,1,24,0,0,9,25,9,34,1,1.0,0.0,1.0,1.0,0,1,9.0,9.0
구로구,오류2동,7211,1,0,1,0,0,13,0,0,8,14,9,23,2,0.0,0.0,0.0,0.0,1,1,12.0,6.0
금천구,가산동,2326,0,0,0,0,0,41,1,0,18,41,19,60,1,0.0,0.0,0.0,0.0,1,0,5.0,5.0
금천구,독산1동,4806,2,0,0,0,1,28,0,0,9,31,9,40,3,1.0,0.0,4.0,4.0,0,3,29.0,9.666666666666666
금천구,독산2동,648,0,0,0,0,0,8,0,0,3,8,3,11,0,0.0,0.0,0.0,0.0,0,0,0.0,
금천구,독산3동,2656,1,0,0,0,0,16,0,0,7,17,7,24,1,0.0,0.0,0.0,0.0,0,1,11.0,11.0
금천구,독산4동,702,1,0,0,0,0,2,0,0,3,3,3,6,1,0.0,0.0,0.0,0.0,0,1,4.0,4.0
금천구,시흥1동,4736,1,1,0,0,2,46,0,1,21,50,22,72,5,1.0,19.0,0.0,19.0,1,4,48.0,9.6
금천구,시흥2동,1914,0,0,0,0,0,4,0,0,1,4,1,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
금천구,시흥3동,244,0,0,0,0,0,4,0,0,1,4,1,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
금천구,시흥4동,1418,0,0,0,0,0,9,0,0,4,9,4,13,0,0.0,0.0,0.0,0.0,0,0,0.0,
금천구,시흥5동,1099,0,0,0,0,0,15,0,0,7,15,7,22,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,공릉1동,8806,2,0,0,0,1,33,0,0,10,36,10,46,3,0.0,0.0,0.0,0.0,0,3,28.0,9.333333333333334
노원구,공릉2동,5781,0,0,0,0,0,22,0,1,10,23,10,33,1,1.0,24.0,1.0,25.0,0,1,146.0,146.0
노원구,상계10동,1299,0,0,0,0,0,2,0,0,2,2,2,4,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,상계1동,9119,0,0,0,0,1,24,0,0,7,25,7,32,1,1.0,0.0,18.0,18.0,0,1,5.0,5.0
노원구,상계2동,7394,2,0,0,0,2,31,0,0,17,35,17,52,4,1.0,0.0,180.0,180.0,0,4,26.0,6.5
노원구,상계3.4동,4082,0,0,0,0,0,11,0,0,8,11,8,19,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,상계5동,5349,0,0,0,0,0,10,0,0,5,10,5,15,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,상계6.7동,31372,1,1,0,0,1,109,0,1,34,112,35,147,4,1.0,56.0,3.0,59.0,1,3,245.0,61.25
노원구,상계8동,1898,0,0,0,0,0,17,0,0,5,17,5,22,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,상계9동,2155,0,0,0,0,0,16,0,0,5,16,5,21,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,월계1동,2296,0,0,0,0,1,23,0,0,8,24,8,32,1,1.0,0.0,108.0,108.0,0,1,9.0,9.0
노원구,월계2동,8145,0,0,0,0,0,7,0,0,3,7,3,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,월계3동,7530,0,0,1,0,0,9,0,0,4,9,5,14,1,0.0,0.0,0.0,0.0,1,0,4.0,4.0
노원구,중계1동,4578,0,0,0,0,0,15,0,0,8,15,8,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,중계2.3동,10956,0,0,0,0,0,20,0,0,7,20,7,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,중계4동,5798,0,0,0,0,1,18,0,0,6,19,6,25,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
노원구,중계본동,1908,0,0,0,0,0,19,0,0,4,19,4,23,0,0.0,0.0,0.0,0.0,0,0,0.0,
노원구,하계1동,25892,0,0,0,0,0,8,0,1,2,9,2,11,1,1.0,44.0,1.0,45.0,0,1,203.0,203.0
노원구,하계2동,2473,0,0,0,0,0,4,0,0,1,4,1,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,도봉1동,3602,1,0,0,0,1,7,1,0,7,9,8,17,3,0.0,0.0,0.0,0.0,1,2,21.0,7.0
도봉구,도봉2동,9638,0,0,0,0,0,8,0,0,4,8,4,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,방학1동,4727,0,0,0,0,0,34,0,0,15,34,15,49,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,방학2동,1569,0,0,0,0,0,7,0,0,4,7,4,11,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,방학3동,3476,0,0,0,0,2,8,0,0,4,10,4,14,2,0.0,0.0,0.0,0.0,0,2,7.0,3.5
도봉구,쌍문1동,1817,0,0,0,0,3,5,0,0,4,8,4,12,3,0.0,0.0,0.0,0.0,0,3,9.0,3.0
도봉구,쌍문2동,2653,0,1,0,0,0,19,0,0,9,19,10,29,1,0.0,0.0,0.0,0.0,1,0,9.0,9.0
도봉구,쌍문3동,3780,0,0,0,0,0,9,0,1,6,10,6,16,1,1.0,24.0,8.0,32.0,0,1,113.0,113.0
도봉구,쌍문4동,2321,0,0,0,0,0,6,0,0,2,6,2,8,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,창1동,3877,0,0,0,0,0,20,0,0,6,20,6,26,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,창2동,1828,1,0,0,0,0,8,0,0,3,9,3,12,1,0.0,0.0,0.0,0.0,0,1,10.0,10.0
도봉구,창3동,1858,0,0,0,0,0,10,0,0,4,10,4,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,창4동,3813,0,0,0,0,0,18,0,0,7,18,7,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
도봉구,창5동,2501,2,0,0,0,0,17,1,0,9,19,10,29,3,0.0,0.0,0.0,0.0,1,2,30.0,10.0
동대문구,답십리1동,3369,0,0,0,0,1,23,0,0,11,24,11,35,1,0.0,0.0,0.0,0.0,0,1,7.0,7.0
동대문구,답십리2동,3226,1,0,0,0,0,25,1,0,8,26,9,35,2,0.0,0.0,0.0,0.0,1,1,20.0,10.0
동대문구,신설동,5639,3,0,0,0,1,13,0,0,4,17,4,21,4,0.0,0.0,0.0,0.0,0,4,28.0,7.0
동대문구,용두동,3301,0,1,0,0,1,17,1,1,8,19,10,29,4,1.0,9.0,6.0,15.0,2,2,51.0,12.75
동대문구,이문1동,1567,0,0,0,0,0,35,0,0,12,35,12,47,0,0.0,0.0,0.0,0.0,0,0,0.0,
동대문구,이문2동,1157,0,0,0,0,0,5,0,0,2,5,2,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
동대문구,장안1동,5136,2,0,0,0,0,34,1,0,12,36,13,49,3,0.0,0.0,0.0,0.0,1,2,22.0,7.333333333333333
동대문구,장안2동,3123,3,0,0,0,2,32,0,0,16,37,16,53,5,0.0,0.0,0.0,0.0,0,5,23.0,4.6
동대문구,전농1동,1238,1,0,0,0,0,30,0,0,10,31,10,41,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0
동대문구,전농2동,4129,0,0,0,0,0,18,0,0,3,18,3,21,0,0.0,0.0,0.0,0.0,0,0,0.0,
동대문구,제기동,4214,2,0,0,0,0,18,0,0,49,20,49,69,2,1.0,0.0,32.0,32.0,0,2,11.0,5.5
동대문구,청량리동,4365,0,0,0,0,0,31,0,1,6,32,6,38,1,1.0,11.0,1.0,12.0,0,1,38.0,38.0
동대문구,회기동,4714,0,0,0,1,0,4,0,0,2,5,2,7,1,1.0,106.0,19.0,125.0,0,1,425.0,425.0
동대문구,휘경1동,1831,0,0,0,0,0,11,0,0,4,11,4,15,0,0.0,0.0,0.0,0.0,0,0,0.0,
동대문구,휘경2동,6671,0,0,0,0,0,3,0,1,2,4,2,6,1,1.0,22.0,4.0,26.0,0,1,107.0,107.0
동작구,노량진1동,2151,0,1,0,0,0,20,0,0,8,20,9,29,1,0.0,0.0,0.0,0.0,1,0,9.0,9.0
동작구,노량진2동,677,1,0,0,0,0,9,0,0,4,10,4,14,1,0.0,0.0,0.0,0.0,0,1,16.0,16.0
동작구,대방동,3938,0,0,0,0,0,35,0,0,11,35,11,46,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,사당1동,825,2,0,0,0,0,32,0,0,14,34,14,48,2,0.0,0.0,0.0,0.0,0,2,11.0,5.5
동작구,사당2동,1008,0,0,0,0,0,31,0,0,17,31,17,48,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,사당3동,1478,0,0,0,0,0,11,0,0,5,11,5,16,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,사당4동,251,0,0,0,0,0,15,0,0,10,15,10,25,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,사당5동,724,0,0,0,0,0,4,0,0,1,4,1,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,상도1동,4234,1,0,0,0,0,29,0,0,13,30,13,43,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
동작구,상도2동,1762,0,0,0,0,0,30,0,0,10,30,10,40,0,0.0,0.0,0.0,0.0,0,0,0.0,
동작구,상도3동,1092,0,0,0,0,0,19,0,0,10,19,10,29,0,0.0,0.0,0.0,0.0,0,0,0.0,
